TRUE,predict
1.633468509,1.480677843
1.431363821,1.608514905
1.255272508,1.386338472
1.662757874,1.692424297
1.954242468,1.965636849
1.477121234,1.380419254
1.591064572,1.602377534
0.60206002,0.704185307
1.462398052,1.347272158
1.755874872,1.799945951
1.579783559,1.653853655
1.556302547,1.530100942
1.113943338,1.027984142
1.361727834,1.090376854
1.544068098,1.464210629
1.623249292,1.66569829
1.041392684,1.065861344
1.146128058,1.457454205
1.079181194,1.005062699
1.491361737,1.577235937
1.633468509,1.687884688
1.255272508,1.30188036
1.39794004,1.558354378
1.690196037,1.723132849
0.90309,0.966663957
1.531478882,1.546438098
1.653212547,1.573529959
1.763427973,1.740211368
1.653212547,1.775286078
1.278753638,1.2823838
1.785329819,1.756581426
1.77085197,1.779573202
2.305351257,2.112715721
1.39794004,1.301599503
1.662757874,1.697429657
1.20412004,1.278199673
2.093421698,2.076602936
1.982271194,1.919421911
1.60205996,1.453809381
1.278753638,1.300749302
1.447157979,1.467136264
1.20412004,1.335429192
2.107209921,2.00122571
1.505149961,1.436016202
1.690196037,1.541320443
2.255272388,2.146846294
2.021189213,1.988396645
1.716003299,1.358282924
1.968482971,1.98230648
1.505149961,1.67053473
1.995635152,1.964074731
1.255272508,1.231957555
1.763427973,1.801607251
1.255272508,1.18062973
1.230448961,1.253906488
1.880813599,1.868885994
1.544068098,1.267187953
